"id","age","sex","admission_route","entry_score","cbse_repeat","gpa","pass_cbse"
81,22.6,"M","Olympiad",85.6,0,16.79,1
82,23.8,"M","General",71,0,14.34,1
83,18,"M","Olympiad",87.7,0,17.43,1
84,24.3,"M","General",76.4,0,14.9,1
85,21.6,"F","General",56.4,0,15.01,1
86,23.5,"M","Special",87.7,0,15.87,1
87,21.5,"M","General",49.9,1,14.95,0
88,19.6,"M","Olympiad",77.2,0,16.93,1
89,24.8,"M","General",79.2,0,15.61,1
90,26.3,"F","General",65.3,0,14.75,1
91,23.6,"M","General",53.9,0,14.82,1
92,22.2,"M","General",79.2,0,15.88,1
93,22.5,"M","Olympiad",71.8,0,17.78,1
94,22.7,"F","General",71.5,0,15.55,1
95,18.3,"M","General",76.2,0,15.01,1
96,20.3,"F","General",72.8,0,15.58,1
97,22.9,"F","Olympiad",90,0,18.02,1
98,22.1,"M","General",72,0,14.3,1
99,23.1,"F","General",69,0,15.05,1
100,22.7,"M","General",72.5,0,14.79,1
101,23.3,"F","General",68.4,0,15.19,1
102,21.4,"M","General",77.1,0,16.06,1
103,24.3,"F","SemiSpecial",59.3,0,16.38,1
104,22,"M","General",63.3,0,13.89,1
105,21.9,"M","General",71.9,1,13.24,0
106,25.1,"M","General",69,0,15.67,1
107,23.8,"M","General",79.5,0,14.34,1
108,26,"F","General",53,0,14.46,1
109,19.5,"M","General",65.1,0,14.92,1
110,18.5,"M","General",69.7,1,15.01,0
111,20.4,"M","General",74.2,0,16.38,1
112,22.8,"F","General",68.4,0,16.43,1
113,20.7,"M","General",68.4,0,15.61,1
114,24.8,"M","General",61.1,0,15.31,1
115,18.4,"F","General",71,0,15.19,1
116,20,"F","Olympiad",64.7,0,17.27,1
117,19.6,"F","General",59.9,0,13.28,1
118,19,"M","General",76.9,0,16.27,1
119,21.6,"F","General",77.8,0,16.41,1
120,26.1,"F","General",73,0,15,1
121,18,"M","SemiSpecial",64.8,0,16.67,1
122,20.4,"M","General",70,0,15.23,1
123,23,"M","Olympiad",88.1,0,16.63,1
124,21.8,"F","General",70.6,0,15.58,1
125,24.4,"M","General",68.4,1,15.92,0
126,21.4,"F","SemiSpecial",71.5,0,17.11,1
127,24,"F","General",63.9,0,16.35,1
128,20,"F","General",82.5,0,15.33,1
129,22.1,"M","Special",61,0,16.51,1
130,22.7,"F","General",69.7,0,16.15,1
131,24.1,"M","General",67.9,0,15.95,1
132,22.9,"M","General",64.5,0,14.1,1
133,27,"M","SemiSpecial",67.7,0,17.12,1
134,20.8,"M","General",67.9,0,15.15,1
135,22.4,"F","Special",55.9,0,13.28,1
136,22.3,"F","General",72.8,0,15.72,1
137,23.3,"F","General",79.4,1,15.11,0
138,23,"F","General",62.9,0,17.19,1
139,19.4,"F","General",70.7,0,15.6,1
140,22.3,"M","General",62,0,14.35,1
141,23,"M","General",63.7,1,14.76,0
142,24.8,"M","General",67.8,1,15.74,0
143,21.8,"M","Special",58.4,0,15.02,1
144,23.8,"F","General",62.1,1,16.2,0
145,19.9,"M","General",61.6,0,14.29,1
146,19.5,"F","General",82.7,0,17.1,1
147,21.8,"F","General",70.3,1,15.6,0
148,20.6,"F","General",74,0,15.12,1
149,21.6,"F","General",75.9,0,15.5,1
150,24.2,"M","General",74.2,0,15.34,1
151,24.1,"M","General",61.9,0,14.43,1
152,22.2,"M","General",80.9,0,15.37,1
153,23.4,"M","SemiSpecial",65.5,0,16.45,1
154,22.1,"M","SemiSpecial",67.2,1,15.64,0
155,20,"M","General",64.4,0,16.39,1
156,24.7,"F","General",81,0,14.12,1
157,24.8,"F","Special",67.6,0,16.07,1
158,24.8,"F","General",65.3,0,14.65,1
159,23.6,"F","General",71.4,0,17.33,1
160,22.1,"M","General",76,0,16.87,1
161,23.2,"F","Special",71.9,0,17.58,1
162,20.8,"M","General",63.2,0,16.19,1
163,21.3,"F","General",69.9,0,15.02,1
164,22.6,"M","Special",58,0,16.31,1
165,26.3,"M","Special",64.1,0,14.59,1
166,24.4,"M","General",65.2,0,14.94,1
167,22.7,"M","Olympiad",76.9,0,16.04,1
168,22.7,"F","General",68,0,15.38,1
169,21.9,"M","Special",66.4,0,15.93,1
170,22.8,"M","General",75.2,1,16.27,0
171,20,"M","General",75.3,0,15.63,1
172,21.7,"F","General",67.9,0,15.72,1
173,23.6,"M","General",73.8,0,14.96,1
174,21.6,"M","Olympiad",71.3,1,17.82,0
175,26.3,"F","General",60.1,0,13.6,1
176,22.8,"F","General",59.2,0,14.78,1
177,24,"M","General",69.5,0,15.91,1
178,25.2,"M","General",72.2,0,14.93,1
179,25.7,"F","General",75.9,0,16.46,1
180,23.5,"F","Special",69.3,0,14.09,1
181,21.1,"M","General",67.6,0,16.38,1
182,23.1,"F","SemiSpecial",63.9,0,13.78,1
183,20.2,"F","General",67.3,0,14.69,1
184,24.8,"M","General",79.4,0,14.99,1
185,19.7,"M","General",69.7,0,16.2,1
186,21.2,"F","SemiSpecial",57.1,0,15.84,1
187,18.4,"M","Olympiad",87.9,0,18.1,1
188,23,"F","SemiSpecial",64.3,0,16.4,1
189,23.1,"F","General",73.6,0,14.52,1
190,21.9,"M","General",75.9,0,15.8,1
191,22.5,"F","General",75.4,0,14.43,1
192,23.4,"M","General",64.7,0,13.66,1
193,21.9,"M","General",76.6,0,16.71,1
194,24.3,"F","General",76.3,0,13.62,1
195,21.2,"M","General",83.7,0,17.52,1
196,21.5,"M","General",69.7,0,17.78,1
197,22.6,"F","SemiSpecial",67.7,0,14.75,1
198,24.5,"M","General",72.3,0,16.93,1
199,18,"M","Olympiad",70.2,0,16.66,1
200,23.2,"F","SemiSpecial",71.8,0,16.99,1
